nome_empresarial,bairro,ano,lat,lng,tipo
RESTAURANTE PEQUI GOIANO LTDA,CENTRO,1998-02-23,-25.4303396,-49.2644346,Restaurante
MOZART CAFE E CONFEITARIA LTDA,BATEL,2000-06-01,-25.439873,-49.2799748,Padaria/Confeitaria
SABOR CAFE BIDIDAL LANCHONETE LTDA,CENTRO,1997-04-23,-25.4334388,-49.28073,Café
ZHOU YONGFANG,CENTRO,2006-04-10,-25.4320072,-49.2707927,Lanchonete
MADERO COMENDADOR,CENTRO,2013-08-26,-25.4346353,-49.2776272,Franquia
LANCHONETE MARILENE E DJALMA,CENTRO,1993-03-01,-25.4385605,-49.2696014,Lanchonete
MC PRODOCIMO & CIA LTDA,CENTRO,2002-03-14,-25.432202,-49.2624309,Lanchonete
WALLACE WILLIAN CORREA DA SILVA,BATEL,1998-07-01,-25.4406871,-49.286923,Bar/Choperia
PAULINO ARAUJO,CENTRO,1990-06-01,-25.432645,-49.2617136,Restaurante
DE BONA E DE PAULA LTDA,CENTRO,2000-07-17,-25.4292809,-49.2639067,Bar/Choperia
TZV - LANCHONETE & MINIMERCADO,CENTRO,2012-10-16,-25.4341683,-49.2789385,Mercado/Mercearia
M C  LENGLER & CIA LTDA,CENTRO,1989-08-01,-25.4281177,-49.2698813,Restaurante
PIZZA DOG,TATUQUARA,2013-09-18,-25.5725411,-49.3384683,Pizzaria
VILARIGNO ENTRETENIMENTO LTDA,BATEL,2004-04-01,-25.4376492,-49.280847,Bar/Choperia
AVM COMERCIO DE ALIMENTOS LTDA,CENTRO,1999-02-17,-25.4373459,-49.2767552,Restaurante
BARAN BAR E LANCHONETE LTDA,CENTRO,2008-03-17,-25.4310221,-49.281596,Bar/Choperia
LA CASA DI PASTA ALIMENTICIAS LTDA,CENTRO,2000-06-01,-25.4382517,-49.2763972,Restaurante
ZUZE,CENTRO,2003-11-01,-25.4353943,-49.2813275,Mercado/Mercearia
RESTAURANTE HUABIN LTDA - ME,CENTRO,2014-01-27,-25.4298488,-49.2668942,Restaurante
LANCHONETE DA FAMILIA,CENTRO,2000-09-04,-25.4349302,-49.2758749,Lanchonete
RESTAURANTE VO DI,CENTRO,2008-08-20,-25.4361716,-49.2794452,Restaurante
AMADA FOCA  PRODUCOES ARTISTICAS LTDA ME,CENTRO,2011-08-25,-25.4291672,-49.264586,Bar/Choperia
TALHERES GASTRONOMIA,CENTRO,2009-05-08,-25.4338142,-49.2794519,Gourmet
PANIFICADORA PETRUCHIO LTDA,CENTRO,2001-04-30,-25.4261075,-49.2696633,Padaria/Confeitaria
ZZA - COMERCIO DE ALIMENTOS E BEBIDAS LTDA - EPP,BATEL,2013-08-14,-25.4431516,-49.2908574,Restaurante
A PALHOCA GRILL LTDA,CENTRO,2000-09-15,-25.4322348,-49.2799907,Churrascaria/Grill
CAT'S CLUB BAR LTDA - ME.,CENTRO,1999-12-13,-25.4292605,-49.2738276,Bar/Choperia
MARI CAFE LTDA,CENTRO,2009-05-28,-25.4282669,-49.2639897,Café
CENTRAL GRILL,CENTRO,2009-03-10,-25.4359343,-49.2695337,Churrascaria/Grill
ANTONIO ANTUNES BORBA 24094099972,TATUQUARA,2012-03-09,-25.5751537,-49.3369553,Bar/Choperia
DONKEBAB,BATEL,2005-02-28,-25.436048,-49.2839191,Lanchonete
TEMPERO UAI,CENTRO,2014-01-10,-25.4316042,-49.26072,Restaurante
BOLA 7,CENTRO,1993-01-01,-25.4372334,-49.2688273,Jogo
Z + RESTAURANTE LTDA,CENTRO,2004-01-05,-25.4332533,-49.267912,Bar/Choperia
JEAN PIERRE LOBO & CIA LTDA,BATEL,1999-11-01,-25.4364316,-49.2846986,Bar/Choperia
HRRO'S DRIVE IN,CENTRO,1984-05-05,-25.4319047,-49.277317,Pizzaria
RESTAURANTE DONA BENTA,CENTRO,2004-02-06,-25.431054,-49.2806818,Bar/Choperia
LANCHONETE RU & LI LTDA,CENTRO,1993-07-28,-25.4339506,-49.2735263,Bar/Choperia
JANETE DUTRA DA SILVA,CENTRO,2009-11-18,-25.427065,-49.2685574,Bar/Choperia
PIZZARIA MACIEL,TATUQUARA,2004-07-01,-25.5639466,-49.3119452,Pizzaria
PASTELARIA IMOTO LTDA,CENTRO,1984-04-02,-25.4355432,-49.2707026,Pastelaria
SUBSAND LANCHONETE LTDA,CENTRO,2009-01-21,-25.4319187,-49.2744865,Lanchonete
MBM ARQUITETURA,BATEL,2006-02-10,-25.4384604,-49.2841543,Restaurante
RESTAURANTE NAZIRA LTDA,CENTRO,1992-06-15,-25.4350932,-49.2709465,Bar/Choperia
MINI KALZONE,CENTRO,2007-11-13,-25.4412212,-49.27769,Franquia
RESTAURANTE SUPER WONK LTDA,CENTRO,2009-11-17,-25.426893,-49.2601899,Lanchonete
RESTAURANTE DON MARTINI,CENTRO,2011-01-18,-25.4358032,-49.2638082,Restaurante
DUO CUISINE,BATEL,2007-10-29,-25.443025,-49.2925325,Restaurante
PIETRA NAIL SERVICOS DE MANICURE LTDA ME,BATEL,2012-05-22,-25.4400072,-49.2824263,Lanchonete
TAKII & CIA LTDA,CENTRO,2001-02-01,-25.4275214,-49.2625783,Lanchonete
PASTELARIA TAN LTDA-ME,CENTRO,2004-05-02,-25.4288319,-49.2693079,Pastelaria
LA MAMA LANCHES,CENTRO,2003-10-01,-25.4301849,-49.2663313,Lanchonete
L M FARIA BAR,TATUQUARA,2006-10-27,-25.5574612,-49.3377391,Bar/Choperia
PATRICIA AMADA TOLEDO,CENTRO,1996-09-01,-25.4301849,-49.2663313,Lanchonete
PARANGOLE CAFE,CENTRO,2008-08-28,-25.4290171,-49.2610561,Café
PLAZA FAST GRILL  ALIMENTOS LTDA,CENTRO,1996-10-01,-25.4319877,-49.2773595,Churrascaria/Grill
PAO DE QUEIJO BRASIL,CENTRO,2006-12-11,-25.4313786,-49.2638519,Lanchonete
STEAK GRILL ORIGINAL,CENTRO,2013-11-28,-25.4327726,-49.2713612,Churrascaria/Grill
CAFETERIA CAFE BEIRUTE LTDA,CENTRO,1999-04-01,-25.4412212,-49.27769,Café
NG E LI LTDA,CENTRO,1996-09-01,-25.4326694,-49.2671651,Bar/Choperia
LANCHONETE SORAYA LTDA,CENTRO,1994-06-01,-25.4317104,-49.2701604,Bar/Choperia
STAPIGNON COMERCIO DE LANCHES LTD,CENTRO,1994-04-01,-25.4333617,-49.2734806,Lanchonete
EDSON SADAO IMOTO,CENTRO,1985-04-01,-25.4385256,-49.2737894,Lanchonete
FONTE DO SABOR,CENTRO,2003-11-04,-25.4390093,-49.2721823,Lanchonete
AVILA ALVES & CIA LTDA,CENTRO,1987-09-01,-25.4337699,-49.2781735,Mercado/Mercearia
SOLI DOCES E SALGADOS LTDA,CENTRO,1995-07-25,-25.4322376,-49.2735411,Lanchonete
DOLY VAZ NICHEL & CIA LTDA,BATEL,1983-07-10,-25.4422026,-49.2895076,Bar/Choperia
NCZ DIGITALIZACAO,CENTRO,2009-06-17,-25.4309245,-49.2763838,Típico
RESTAURANTE A PAMPHYLIA LTDA,BATEL,1982-05-03,-25.4434154,-49.2895431,Pizzaria
CMN-INDUSTRIA COM ALIM LTDA,CENTRO,1995-03-10,-25.4295257,-49.2611218,Pizzaria
RENATO BRITO RESTAURANTE E LANCHONETE LTDA,CENTRO,2009-05-12,-25.4369881,-49.2707706,Lanchonete
LIGA DAS SENHORAS CATOLICAS CTBA,CENTRO,1995-03-13,-25.4316686,-49.2766907,Lanchonete
IND DE MASSAS XAVIERI LTDA,CENTRO,1995-04-01,-25.431559,-49.2608967,Pizzaria
LANCHONETE FU HAO LTDA,CENTRO,1997-06-20,-25.4326979,-49.2778634,Lanchonete
GUAITA & FILHOS LTDA,BATEL,1995-07-01,-25.4415492,-49.2861923,Pizzaria
WILLIAN HANG,CENTRO,1995-08-01,-25.4444473,-49.2882258,Bar/Choperia
BAR DO NENE,TATUQUARA,2008-01-28,-25.5617063,-49.3387303,Bar/Choperia
MADEE COMERCIO DE ALIMENTOS LTDA,CENTRO,1995-01-02,-25.4279019,-49.2683262,Lanchonete
BUONO GUSTO REFEICOES LTDA,CENTRO,1995-05-12,-25.4337699,-49.2781735,Restaurante
BELLEZER COMERCIO DE ALIMENTOS LTDA,CENTRO,1994-11-30,-25.4412212,-49.27769,Padaria/Confeitaria
JAFE MARQUES DA SILVA,CENTRO,1994-12-12,-25.4385605,-49.2696014,Padaria/Confeitaria
FIGUEREDO & CHIARELLO LTDA,CENTRO,1995-07-01,-25.4281177,-49.2698813,Lanchonete
VIANA LANCHES LTDA,CENTRO,2000-01-05,-25.4309098,-49.2766714,Lanchonete
KAERU RESTAURANTE E LANCHONETE LT,CENTRO,1994-09-01,-25.4284845,-49.2676913,Lanchonete
CHURRASCARIA FILE CURITIBANO LTDA. - ME,CENTRO,2013-04-26,-25.4295979,-49.2589608,Churrascaria/Grill
WILSON ROBERTO FURQUIM,TATUQUARA,1991-06-01,-25.5535166,-49.2953398,Mercado/Mercearia
PIZZA CERO COM DE ALIMENTOS LTDA,CENTRO,1995-10-31,-25.4313217,-49.2697778,Pizzaria
RESTAURANTE MIKADO LTDA,CENTRO,1990-12-10,-25.4281333,-49.2697215,Restaurante
MARCO ANTONIO BECKER BORDIN,CENTRO,1988-10-01,-25.4244904,-49.2625969,Bar/Choperia
LANCHONETE I S M LTDA,CENTRO,1988-07-10,-25.4279148,-49.2635207,Lanchonete
MONT VERDE COMERCIO DE ALIMENTOS LTDA,BATEL,2002-04-17,-25.4385486,-49.2817057,Lanchonete
MEMPHIS LUNCH - SALGADOS ESPECIAIS,CENTRO,2009-03-25,-25.436485,-49.2800196,Lanchonete
GREEN LAND-RESTAURANTE E LANCH LT,CENTRO,1988-06-01,-25.4300952,-49.2686446,Lanchonete
BAR E LANCHES FLOR DO JATAAL LTDA,CENTRO,1992-10-26,-25.4357648,-49.2666719,Bar/Choperia
RESTAURANTE E LANCHONETE PIG BURGUER LTDA,CENTRO,1983-08-01,-25.4277174,-49.2709759,Fastfood
ANDRAVI RESTAURANTE LTDA,CENTRO,2001-11-01,-25.4345854,-49.2754644,Lanchonete
ARTE & SABOR RESTAURANTE NATUR LT,CENTRO,1991-04-22,-25.4339507,-49.2632834,Outros
BREAD S SHOP COMERCIO DE ALIMENTOS LTDA,CENTRO,1996-09-09,-25.4291672,-49.264586,Restaurante
FRANCINE SUCOS E LANCHES LTDA,CENTRO,1992-11-23,-25.4322072,-49.2778372,Lanchonete
JOAO RICARDO MINATTO,CENTRO,1989-08-30,-25.4385256,-49.2737894,Lanchonete
TRAVESSA LANCHES LTDA ME,CENTRO,1990-08-16,-25.4355013,-49.2657055,Lanchonete
CLONE PIZZA LTDA,CENTRO,2009-06-30,-25.432609,-49.2634106,Pizzaria
MEILAM RESTAURANTE E CONFEITARIA LTDA,CENTRO,1994-02-28,-25.4292999,-49.2648281,Padaria/Confeitaria
TWIDOW S PUB BAR LTDA,CENTRO,1998-11-03,-25.4357296,-49.2774092,Bar/Choperia
JOAO CARLOS DA COSTA RESTAURANTE,CENTRO,1997-06-25,-25.4300997,-49.27092,Lanchonete
ALICOM INDUSTRIA E COMERCIO DE ALIMENTACAO LTDA,CENTRO,1997-03-25,-25.4334295,-49.2692998,Lanchonete
RICARDO ALEXANDRE TAVARES  - ME,BATEL,2005-06-30,-25.4359028,-49.2848638,Bar/Choperia
RESTAURANTE NORIMAKI,CENTRO,2008-07-08,-25.4412212,-49.27769,Lanchonete
LANCHONETE GREEN APPLE LTDA,CENTRO,2010-03-22,-25.4349957,-49.2718201,Lanchonete
O FRANDOG COMERCIO DE ALIMENTOS LTDA,CENTRO,1995-02-01,-25.4310833,-49.2664009,Cachorro Quente
SIWIRE LANCHONETE E PASTELARIA LTDA,CENTRO,1997-07-01,-25.4337648,-49.2768009,Pastelaria
WANKE LANCHES LTDA,CENTRO,2003-04-17,-25.4276193,-49.2609527,Bar/Choperia
RHINO COM DE SANDUICH ESPEC LTDA,CENTRO,1985-06-01,-25.432753,-49.2703168,Lanchonete
UMAI PASTEIS,CENTRO,2011-06-14,-25.4379174,-49.2796428,Pastelaria
MARIA CLEUSA DOS SANTOS TAKII,CENTRO,1992-05-12,-25.4287029,-49.2684594,Pastelaria
MOINHO DOM PEDRO BAR E PETISCARIA LTDA,BATEL,1997-08-18,-25.4401149,-49.2862233,Bar/Choperia
DURVAL INACIO DE SOUZA,CENTRO,1994-07-15,-25.4301849,-49.2663313,Lanchonete
GONMASA RESTAURANTE E LANCHONETE LTDA,CENTRO,1997-10-13,-25.4317792,-49.2613385,Lanchonete
EDNA TEIXEIRA DOS SANTOS,CENTRO,1997-11-01,-25.4369407,-49.2709217,Lanchonete
BRANDALIZE  ANDRADE & FREITAS LTDA,CENTRO,1993-04-15,-25.4313838,-49.2607223,Pizzaria
SABOR IDEAL LANCHONETE E RESTAURANTE LTDA,CENTRO,1993-08-01,-25.4337081,-49.2649241,Lanchonete
IZABEL CRISTINA DE ALMEIDA RESTAURANTE,CENTRO,1997-10-15,-25.4354979,-49.2667586,Lanchonete
MAG WING LANCHONETE E RESTAURANTE LTDA,CENTRO,1998-09-01,-25.4316784,-49.271715,Lanchonete
CABRAL E NASCIMENTO LTDA,CENTRO,1984-01-01,-25.4395858,-49.2759873,Bar/Choperia
LANCHONETE NAKAROCHA LTDA,CENTRO,1986-04-15,-25.4280541,-49.2705302,Lanchonete
LAS OLAS CAFE LTDA,BATEL,1999-04-05,-25.4430133,-49.2899372,Café
LANCHES NOVISSIMO LTDA,CENTRO,1987-10-01,-25.4338347,-49.2783381,Lanchonete
MARCOS KAHTALIAN,CENTRO,1993-10-18,-25.4284939,-49.2682064,Bar/Choperia
CAFE DAS GERAIS,CENTRO,2003-08-20,-25.4304766,-49.2645253,Café
MARCOS E  DRANKA & CIA LTDA,CENTRO,1989-08-02,-25.4301849,-49.2663313,Lanchonete
REST E LANCHONETE TRES COLINAS LT,CENTRO,1981-09-25,-25.4444863,-49.2883261,Lanchonete
LUIZ CARLOS PANTE - ME,CENTRO,2001-08-13,-25.4298817,-49.27581,Lanchonete
RESTAUR LANCH SETE ONDAS LTDA,CENTRO,1989-07-28,-25.4375784,-49.2794522,Lanchonete
LANCHERIA MARROM CAFE LTDA,TATUQUARA,2001-08-20,-25.4131985,-49.2216005,Café
ARCO DA VELHA,CENTRO,2007-11-01,-25.4378112,-49.2784854,Lanchonete
KI COXINHA LANCHES,TATUQUARA,2011-09-02,-25.5672453,-49.3391069,Lanchonete
A L B  DE BARROS RESTAURANTE,CENTRO,1995-09-15,-25.4292147,-49.2692776,Bar/Choperia
CAFE LOUNGE BAR,BATEL,2005-03-29,-25.435632,-49.2851082,Café
WILSON O  PISANTE,CENTRO,1990-07-01,-25.4300927,-49.2759501,Lanchonete
PANIFICADORA PETRUCHIO LTDA,CENTRO,2001-04-30,-25.4261075,-49.2696633,Padaria/Confeitaria
J A DE REZENDE,CENTRO,1995-06-01,-25.4327877,-49.26408,Bar/Choperia
VALDEMAR JOSE DO NASCIMENTO,CENTRO,1983-06-01,-25.4327829,-49.2615616,Bar/Choperia
RESTAURANTE TON RAI LTDA,CENTRO,1996-07-01,-25.4329538,-49.271959,Bar/Choperia
HU ZHAOJING,CENTRO,1996-09-02,-25.4330079,-49.2711211,Lanchonete
QUICK BURGUER ALIMENTOS LTDA,BATEL,2011-07-21,-25.4402801,-49.2821311,Fastfood
M R RIBEIRO & CIA LTDA,CENTRO,1995-09-10,-25.4348486,-49.2812154,Restaurante
RESTAURANTE PAI PATINHAS LTDA,CENTRO,1996-07-15,-25.4292147,-49.2692776,Lanchonete
VIDEO SETE COMERCIO E LOCACAO DE FITAS LTDA,BATEL,1986-09-16,-25.4468557,-49.2907547,Pizzaria
G J DA COSTA - BAR E LANCHONETE,CENTRO,1997-10-01,-25.4328803,-49.2640546,Bar/Choperia
CASABLANCA PRODUTOS ALIMENTICIOS LTDA,BATEL,1998-02-01,-25.437551,-49.281727,Bar/Choperia
UDSON BERTO ZANATTA,TATUQUARA,1997-01-27,-25.5495995,-49.3001678,Jogo
CAFE PIEROBOM,CENTRO,2009-10-26,-25.4372783,-49.2743717,Café
GEORGIA DE SA BARRETO FRANCO DE SOUZA,BATEL,2002-07-01,-25.43799,-49.2823338,Bar/Choperia
TERRACO CHOPERIA,TATUQUARA,2010-05-21,-25.5610849,-49.3391084,Jogo
REICHWALD & SOUZA LTDA,CENTRO,1994-11-01,-25.4343901,-49.2788143,Bar/Choperia
ALLEZ ALLEZ CAFE LTDA,CENTRO,2010-07-13,-25.430562,-49.2619408,Café
CLARISIA CASAGRANDE CAMBRUSSI,CENTRO,1998-03-10,-25.4304925,-49.2730056,Restaurante
PORTAL DO PAO DE QUEIJO,CENTRO,2008-12-09,-25.4296666,-49.273268,Lanchonete
KONDO & CIA LTDA,CENTRO,1998-04-01,-25.4301849,-49.2663313,Bar/Choperia
ELENA SILVETE DA SILVA,CENTRO,1997-04-01,-25.4299517,-49.2740048,Lanchonete
LANCHES SPREIA LTDA,CENTRO,1996-06-01,-25.4331367,-49.2768998,Lanchonete
BAMBOO CHINES SNOKER BAR LTDA,CENTRO,1998-04-01,-25.4392945,-49.2754154,Típico
SPLESH-MERCANTIL DE ALIMENTOS LTD,BATEL,1988-06-20,-25.4426131,-49.2882397,Bar/Choperia
BENEDITO LISBOA CARVALHO 10039520382,CENTRO,2010-09-22,-25.4292147,-49.2692776,Lanchonete
PORTOFINO RESTAURANTE LTDA,CENTRO,1998-04-14,-25.4331686,-49.279504,Restaurante
CAFE DEL PLATA COMERCIO DE ALIMENTOS LTDA,CENTRO,2007-12-03,-25.4412212,-49.27769,Café
